área (m²),quartos,vagas de garagem,tipo de imóvel,custo (R$/m²),valor da região
35.0,2,0,Apartamento,51.09,Barata
80.0,1,1,Apartamento,52.58,Média
75.0,3,1,Apartamento,56.71,Cara
37.0,2,0,Apartamento,87.03,Média
45.0,1,1,Apartamento,85.82,Barata
24.0,1,0,Studio e kitnet,148.96,Cara
50.0,1,1,Apartamento,98.36,Média
65.0,3,1,Apartamento,36.32,Barata
54.0,2,1,Apartamento,32.28,Muito barata
41.0,2,0,Apartamento,61.24,Barata
35.0,1,1,Apartamento,71.14,Média
42.0,2,0,Casa,26.81,Barata
64.0,2,1,Casa em condomínio,37.7,Barata
31.0,1,0,Studio e kitnet,102.94,Média
38.0,1,1,Studio e kitnet,79.32,Média
57.0,2,1,Apartamento,40.32,Barata
45.0,1,1,Casa,27.8,Muito barata
37.0,2,0,Apartamento,76.05,Média
29.0,1,0,Studio e kitnet,59.34,Média
76.0,3,1,Apartamento,69.99,Barata
64.0,2,1,Apartamento,69.67,Média
55.0,2,1,Apartamento,45.25,Barata
67.0,2,1,Apartamento,47.3,Barata
62.0,3,1,Apartamento,44.05,Barata
50.0,2,1,Apartamento,48.32,Barata
22.0,1,0,Studio e kitnet,151.32,Média
49.0,1,1,Apartamento,85.47,Barata
62.0,2,1,Apartamento,38.81,Muito barata
25.0,1,0,Studio e kitnet,121.92,Média
25.0,1,1,Studio e kitnet,96.72,Barata
27.0,1,0,Studio e kitnet,95.44,Média
49.0,2,1,Apartamento,33.06,Barata
20.0,1,0,Studio e kitnet,106.65,Média
48.0,1,1,Apartamento,74.94,Cara
38.0,1,1,Apartamento,52.58,Barata
21.0,1,0,Studio e kitnet,68.0,Média
35.0,2,0,Apartamento,86.2,Média
49.0,1,1,Apartamento,80.96,Cara
64.0,2,1,Apartamento,32.19,Muito barata
70.0,3,1,Apartamento,82.71,Média
28.0,1,0,Studio e kitnet,84.5,Cara
49.0,2,1,Apartamento,53.8,Barata
58.0,2,2,Apartamento,55.57,Barata
66.0,2,2,Apartamento,49.3,Barata
35.0,1,1,Apartamento,94.17,Média
28.0,0,0,Studio e kitnet,58.82,Média
33.0,1,1,Studio e kitnet,99.58,Média
45.0,2,0,Apartamento,67.69,Barata
53.0,2,1,Apartamento,52.34,Barata
30.0,1,0,Studio e kitnet,61.0,Média
49.0,2,1,Apartamento,48.14,Barata
60.0,3,1,Apartamento,64.08,Barata
35.0,2,0,Apartamento,85.03,Barata
45.0,2,0,Apartamento,66.51,Barata
15.0,1,0,Studio e kitnet,69.2,Média
51.0,1,1,Apartamento,101.75,Cara
30.0,1,1,Studio e kitnet,125.03,Cara
47.0,1,1,Apartamento,75.02,Média
54.0,1,2,Apartamento,116.96,Cara
35.0,1,1,Apartamento,104.6,Cara
33.0,1,0,Studio e kitnet,124.73,Cara
60.0,2,1,Apartamento,108.4,Média
58.0,2,1,Apartamento,77.22,Média
78.0,1,1,Apartamento,66.44,Média
32.0,1,0,Studio e kitnet,92.56,Média
58.0,2,1,Apartamento,59.93,Barata
65.0,2,0,Apartamento,43.55,Cara
58.0,3,1,Apartamento,78.21,Barata
68.0,3,1,Apartamento,98.29,Média
68.0,3,1,Apartamento,61.5,Cara
64.0,2,2,Apartamento,70.0,Barata
73.0,3,1,Apartamento,56.07,Barata
50.0,2,1,Apartamento,53.7,Barata
50.0,2,1,Apartamento,46.42,Barata
25.0,1,0,Studio e kitnet,119.44,Cara
48.0,2,0,Apartamento,32.12,Muito barata
30.0,2,2,Casa,90.83,Cara
53.0,2,1,Apartamento,56.0,Barata
63.0,3,1,Apartamento,43.37,Barata
33.0,1,1,Studio e kitnet,101.21,Cara
50.0,1,1,Apartamento,125.16,Cara
36.0,1,1,Apartamento,89.78,Barata
47.0,2,1,Apartamento,46.53,Barata
54.0,2,1,Apartamento,91.74,Barata
42.0,1,1,Apartamento,96.57,Cara
90.0,2,2,Casa,31.44,Barata
80.0,3,2,Apartamento,48.25,Barata
67.0,3,1,Apartamento,35.28,Barata
50.0,2,1,Apartamento,68.2,Média
35.0,1,0,Apartamento,36.03,Muito barata
32.0,1,0,Studio e kitnet,51.62,Barata
49.0,1,1,Apartamento,47.0,Barata
39.0,1,0,Apartamento,75.64,Barata
80.0,2,1,Casa,23.02,Muito barata
71.0,2,2,Apartamento,63.89,Média
40.0,1,1,Casa,29.42,Barata
72.0,2,1,Apartamento,52.79,Barata
75.0,2,1,Casa,27.68,Barata
62.0,3,1,Apartamento,37.4,Barata
65.0,3,1,Apartamento,40.32,Barata
50.0,2,1,Apartamento,58.3,Barata
44.0,2,1,Apartamento,39.16,Muito barata
64.0,2,1,Apartamento,38.16,Barata
60.0,3,1,Apartamento,38.18,Barata
69.0,2,2,Casa,39.58,Barata
43.0,2,1,Apartamento,55.51,Barata
70.0,2,1,Casa,41.24,Barata
45.0,1,0,Casa,30.47,Barata
47.0,2,0,Apartamento,72.21,Barata
35.0,2,0,Apartamento,72.0,Barata
38.0,1,1,Apartamento,144.34,Cara
50.0,2,1,Apartamento,38.72,Barata
72.0,2,2,Apartamento,54.43,Média
53.0,2,0,Apartamento,37.92,Barata
69.0,1,0,Casa,22.65,Barata
50.0,2,1,Apartamento,52.02,Barata
69.0,2,2,Apartamento,61.86,Média
34.0,1,0,Studio e kitnet,41.76,Média
28.0,1,0,Studio e kitnet,91.11,Barata
56.0,2,1,Apartamento,49.79,Média
43.0,1,1,Apartamento,87.02,Média
55.0,2,1,Apartamento,71.49,Barata
46.0,2,1,Apartamento,41.48,Barata
65.0,3,1,Apartamento,42.28,Barata
27.0,1,0,Studio e kitnet,87.59,Barata
80.0,2,2,Casa,26.06,Muito barata
40.0,2,0,Apartamento,50.18,Barata
68.0,3,1,Apartamento,40.44,Média
44.0,2,1,Apartamento,51.5,Barata
58.0,2,2,Apartamento,49.47,Barata
45.0,1,0,Studio e kitnet,45.42,Cara
79.0,3,2,Apartamento,61.87,Barata
30.0,1,0,Casa,39.97,Barata
29.0,1,0,Studio e kitnet,65.86,Barata
55.0,2,1,Apartamento,61.11,Barata
