área (m²),quartos,vagas de garagem,tipo de imóvel,custo (R$/m²),valor da região
55.0,2,0,Apartamento,48.91,Cara
40.0,1,1,Studio e kitnet,90.35,Média
58.0,2,2,Apartamento,79.19,Barata
70.0,2,0,Apartamento,49.53,Cara
60.0,1,1,Apartamento,30.22,Barata
50.0,2,0,Apartamento,59.72,Média
52.0,2,1,Apartamento,51.92,Barata
68.0,1,0,Apartamento,37.03,Barata
30.0,1,0,Studio e kitnet,69.57,Média
30.0,1,0,Studio e kitnet,68.33,Barata
50.0,1,0,Casa,24.98,Muito barata
55.0,1,0,Apartamento,23.4,Muito barata
50.0,2,0,Casa,25.22,Barata
80.0,2,2,Casa,23.56,Barata
60.0,1,1,Apartamento,34.62,Barata
39.0,1,0,Apartamento,43.44,Barata
88.0,2,1,Casa em condomínio,34.58,Barata
40.0,1,1,Apartamento,46.42,Barata
65.0,2,1,Apartamento,29.98,Muito barata
63.0,2,1,Apartamento,29.41,Barata
74.0,2,2,Apartamento,58.28,Barata
47.0,1,0,Apartamento,55.09,Média
58.0,2,1,Apartamento,43.22,Barata
50.0,2,1,Apartamento,30.94,Muito barata
32.0,1,1,Studio e kitnet,78.09,Média
61.0,2,1,Apartamento,57.92,Barata
38.0,1,1,Studio e kitnet,64.87,Média
100.0,2,1,Casa,27.1,Média
65.0,1,1,Apartamento,74.8,Média
42.0,2,0,Casa,39.83,Barata
60.0,2,2,Apartamento,41.07,Muito barata
35.0,1,0,Apartamento,72.74,Barata
75.0,1,0,Casa,27.08,Barata
69.0,2,0,Apartamento,37.62,Barata
52.0,1,0,Apartamento,44.19,Barata
57.0,2,0,Apartamento,51.21,Barata
52.0,2,1,Apartamento,68.02,Média
75.0,2,1,Apartamento,31.89,Barata
100.0,3,0,Casa,18.89,Muito barata
35.0,1,0,Studio e kitnet,49.34,Média
50.0,1,1,Apartamento,68.7,Média
40.0,1,1,Apartamento,77.7,Média
40.0,1,0,Studio e kitnet,36.58,Média
50.0,2,0,Casa em condomínio,30.04,Barata
45.0,1,1,Apartamento,67.96,Média
50.0,1,2,Apartamento,100.12,Cara
55.0,1,0,Apartamento,38.6,Média
55.0,2,1,Apartamento,32.2,Barata
44.0,1,1,Apartamento,100.32,Média
50.0,2,1,Apartamento,63.88,Barata
70.0,2,1,Casa,29.06,Muito barata
44.0,1,1,Apartamento,66.05,Média
70.0,2,0,Casa em condomínio,17.36,Muito barata
36.0,1,1,Apartamento,68.44,Barata
50.0,1,1,Apartamento,78.28,Média
44.0,2,0,Apartamento,61.02,Média
88.0,2,0,Casa,19.72,Muito barata
40.0,1,0,Apartamento,43.62,Média
56.0,2,1,Apartamento,42.77,Barata
28.0,1,0,Studio e kitnet,36.29,Barata
56.0,2,2,Apartamento,51.23,Barata
41.0,2,1,Apartamento,45.29,Barata
50.0,2,1,Apartamento,59.5,Barata
100.0,3,1,Casa,22.79,Muito barata
85.0,2,0,Casa,26.98,Barata
45.0,1,2,Apartamento,63.4,Barata
35.0,1,0,Apartamento,48.94,Barata
35.0,1,1,Studio e kitnet,98.14,Média
40.0,1,1,Apartamento,118.35,Média
50.0,2,1,Apartamento,52.46,Barata
69.0,3,2,Apartamento,59.59,Barata
33.0,1,1,Studio e kitnet,48.61,Média
62.0,2,1,Apartamento,34.06,Muito barata
41.0,1,1,Apartamento,98.71,Média
74.0,3,2,Apartamento,97.23,Média
18.0,1,0,Studio e kitnet,117.72,Barata
75.0,2,1,Casa em condomínio,26.15,Muito barata
100.0,2,1,Casa,37.77,Barata
70.0,2,1,Apartamento,50.79,Cara
57.0,2,2,Apartamento,66.82,Barata
21.0,1,0,Studio e kitnet,54.9,Barata
60.0,1,0,Casa,22.58,Barata
28.0,1,0,Studio e kitnet,70.86,Barata
38.0,2,1,Apartamento,62.55,Barata
65.0,1,2,Apartamento,55.57,Média
68.0,2,1,Apartamento,61.6,Média
39.0,1,0,Studio e kitnet,74.18,Média
52.0,1,1,Apartamento,59.92,Média
56.0,2,1,Apartamento,57.04,Barata
34.0,1,0,Studio e kitnet,42.29,Média
42.0,2,0,Apartamento,78.81,Média
55.0,2,1,Apartamento,54.02,Muito barata
49.0,1,1,Apartamento,58.96,Barata
73.0,2,1,Apartamento,32.56,Barata
30.0,1,0,Casa,38.23,Muito barata
60.0,2,1,Apartamento,50.73,Média
50.0,2,0,Apartamento,50.12,Média
70.0,2,0,Casa em condomínio,21.03,Muito barata
66.0,3,2,Apartamento,59.83,Barata
75.0,2,2,Apartamento,57.68,Cara
21.0,1,0,Studio e kitnet,100.67,Média
38.0,1,0,Apartamento,55.05,Média
50.0,1,0,Casa,22.94,Muito barata
52.0,2,1,Apartamento,62.4,Média
17.0,1,0,Studio e kitnet,91.65,Média
40.0,1,1,Apartamento,121.55,Média
50.0,1,0,Apartamento,50.52,Média
74.0,3,1,Apartamento,48.7,Barata
20.0,1,0,Studio e kitnet,83.1,Barata
48.0,2,1,Apartamento,41.46,Barata
41.0,1,1,Studio e kitnet,66.85,Média
35.0,1,0,Apartamento,49.14,Barata
36.0,1,0,Studio e kitnet,55.97,Média
22.0,1,0,Studio e kitnet,54.27,Barata
41.0,2,0,Apartamento,56.12,Barata
35.0,2,0,Apartamento,99.74,Média
30.0,1,0,Studio e kitnet,38.07,Barata
48.0,1,0,Apartamento,43.83,Barata
61.0,2,1,Apartamento,34.56,Barata
55.0,2,1,Apartamento,33.58,Barata
64.0,2,2,Apartamento,89.41,Média
58.0,1,2,Apartamento,62.67,Barata
45.0,1,1,Studio e kitnet,61.47,Média
28.0,1,0,Studio e kitnet,41.89,Barata
67.0,2,1,Apartamento,52.48,Barata
42.0,1,1,Apartamento,80.24,Cara
43.0,1,1,Apartamento,65.33,Média
40.0,2,0,Apartamento,47.95,Barata
49.0,2,1,Apartamento,58.37,Barata
48.0,1,0,Apartamento,70.48,Média
35.0,1,1,Apartamento,62.74,Barata
20.0,1,0,Studio e kitnet,101.1,Barata
48.0,1,0,Apartamento,51.12,Média
40.0,1,1,Apartamento,138.93,Cara
38.0,1,0,Apartamento,42.53,Barata
30.0,1,0,Studio e kitnet,71.4,Média
45.0,2,1,Apartamento,69.89,Média
63.0,3,1,Apartamento,46.16,Barata
41.0,2,0,Apartamento,54.32,Barata
57.0,2,1,Apartamento,43.37,Muito barata
49.0,1,1,Apartamento,83.14,Média
32.0,1,0,Casa,32.56,Barata
38.0,2,0,Apartamento,110.13,Média
63.0,2,1,Apartamento,72.33,Barata
40.0,1,1,Apartamento,121.55,Cara
32.0,1,1,Studio e kitnet,62.88,Barata
40.0,2,0,Apartamento,38.9,Barata
42.0,2,0,Apartamento,32.1,Muito barata
18.0,1,0,Studio e kitnet,164.56,Cara
56.0,2,2,Apartamento,49.25,Barata
45.0,1,0,Apartamento,36.44,Média
63.0,2,1,Apartamento,69.24,Barata
40.0,2,0,Casa,46.4,Barata
64.0,2,1,Apartamento,41.11,Barata
68.0,2,0,Apartamento,57.21,Barata
28.0,1,0,Studio e kitnet,43.43,Média
26.0,1,0,Studio e kitnet,78.69,Média
36.0,1,1,Apartamento,76.06,Média
45.0,1,1,Apartamento,64.82,Média
65.0,1,2,Apartamento,92.25,Cara
32.0,1,0,Studio e kitnet,74.97,Média
66.0,2,1,Apartamento,77.21,Cara
19.0,1,1,Studio e kitnet,148.74,Cara
44.0,1,0,Apartamento,37.45,Barata
40.0,1,0,Casa,26.05,Muito barata
36.0,1,1,Studio e kitnet,99.42,Média
44.0,1,1,Apartamento,46.48,Muito barata
37.0,2,1,Apartamento,49.35,Barata
22.0,1,0,Studio e kitnet,156.27,Cara
32.0,1,0,Studio e kitnet,61.56,Média
44.0,1,0,Apartamento,55.57,Cara
70.0,3,2,Apartamento,81.7,Cara
61.0,2,1,Apartamento,37.97,Barata
40.0,1,0,Apartamento,54.2,Barata
80.0,2,1,Apartamento,32.5,Barata
70.0,2,1,Apartamento,44.73,Muito barata
48.0,1,1,Apartamento,116.12,Cara
32.0,1,1,Studio e kitnet,60.75,Média
69.0,3,1,Apartamento,54.32,Muito barata
30.0,1,1,Studio e kitnet,115.17,Cara
49.0,1,0,Apartamento,121.04,Cara
17.0,1,0,Studio e kitnet,115.35,Média
65.0,2,1,Apartamento,49.58,Barata
41.0,1,1,Apartamento,55.46,Barata
49.0,2,1,Apartamento,47.1,Barata
51.0,1,1,Apartamento,111.61,Média
44.0,1,1,Apartamento,102.41,Cara
17.0,1,0,Studio e kitnet,192.41,Média
44.0,1,1,Studio e kitnet,78.68,Média
43.0,1,1,Apartamento,76.7,Média
46.0,1,0,Apartamento,33.2,Barata
65.0,2,0,Apartamento,38.03,Média
75.0,2,1,Apartamento,60.04,Média
42.0,2,0,Apartamento,58.43,Barata
69.0,2,1,Apartamento,41.07,Barata
51.0,2,1,Apartamento,53.24,Barata
43.0,1,1,Apartamento,92.4,Média
75.0,3,1,Apartamento,43.71,Barata
60.0,2,1,Casa,60.8,Barata
74.0,2,1,Apartamento,28.47,Muito barata
55.0,1,1,Apartamento,107.35,Cara
37.0,1,1,Studio e kitnet,91.81,Média
24.0,1,0,Studio e kitnet,148.58,Média
100.0,2,1,Casa,18.24,Muito barata
54.0,1,1,Apartamento,83.43,Média
64.0,2,1,Apartamento,56.12,Média
44.0,1,1,Apartamento,96.39,Média
44.0,1,1,Apartamento,88.93,Média
56.0,2,2,Apartamento,75.91,Cara
60.0,2,1,Apartamento,53.27,Barata
28.0,1,0,Studio e kitnet,68.36,Cara
48.0,1,1,Apartamento,73.77,Cara
59.0,2,1,Apartamento,59.97,Barata
75.0,3,2,Apartamento,41.64,Barata
35.0,1,1,Apartamento,123.37,Cara
50.0,1,1,Apartamento,134.78,Cara
70.0,1,2,Apartamento,84.3,Cara
46.0,2,1,Apartamento,41.76,Muito barata
72.0,2,0,Apartamento,38.83,Barata
60.0,2,1,Apartamento,63.0,Barata
50.0,1,1,Apartamento,100.28,Média
50.0,2,1,Apartamento,38.06,Média
42.0,1,1,Apartamento,94.95,Média
75.0,3,2,Apartamento,88.19,Cara
47.0,1,0,Apartamento,44.91,Média
45.0,1,1,Apartamento,108.89,Cara
65.0,2,2,Apartamento,97.74,Cara
97.0,2,0,Casa,25.34,Muito barata
79.0,2,2,Apartamento,91.84,Média
37.0,1,0,Apartamento,52.27,Média
46.0,1,0,Casa,28.3,Barata
39.0,1,1,Studio e kitnet,83.0,Média
50.0,1,1,Apartamento,40.96,Barata
58.0,1,0,Casa,21.57,Muito barata
41.0,1,1,Studio e kitnet,90.1,Cara
40.0,1,0,Apartamento,45.6,Barata
40.0,1,1,Apartamento,64.2,Barata
42.0,1,0,Studio e kitnet,52.24,Média
48.0,1,1,Apartamento,152.46,Cara
45.0,1,1,Apartamento,76.67,Cara
40.0,1,1,Apartamento,152.15,Cara
54.0,2,1,Apartamento,46.19,Barata
40.0,1,1,Apartamento,67.53,Barata
40.0,1,1,Studio e kitnet,81.28,Média
58.0,2,1,Apartamento,44.5,Barata
74.0,2,2,Apartamento,53.39,Barata
70.0,3,1,Apartamento,41.49,Barata
40.0,1,1,Apartamento,46.7,Barata
76.0,3,1,Apartamento,73.61,Cara
50.0,1,1,Apartamento,33.24,Muito barata
57.0,1,2,Apartamento,64.09,Barata
78.0,2,1,Apartamento,23.91,Muito barata
70.0,2,2,Apartamento,43.34,Barata
76.0,2,1,Apartamento,73.84,Barata
68.0,2,2,Apartamento,59.75,Barata
74.0,3,2,Apartamento,45.11,Barata
48.0,2,1,Apartamento,42.92,Muito barata
41.0,1,1,Apartamento,148.61,Média
45.0,2,1,Apartamento,65.2,Barata
29.0,1,0,Studio e kitnet,83.1,Média
57.0,2,1,Apartamento,46.54,Barata
57.0,2,1,Apartamento,50.6,Barata
38.0,1,0,Apartamento,49.53,Barata
56.0,1,0,Apartamento,32.27,Média
50.0,2,0,Apartamento,37.14,Barata
70.0,1,0,Casa,20.3,Barata
77.0,1,0,Apartamento,14.99,Muito barata
20.0,1,0,Studio e kitnet,65.4,Média
43.0,1,0,Apartamento,55.67,Barata
80.0,1,1,Casa,20.36,Média
32.0,1,0,Studio e kitnet,46.16,Barata
50.0,2,1,Apartamento,54.26,Barata
58.0,2,1,Apartamento,27.86,Muito barata
57.0,1,1,Apartamento,65.6,Média
38.0,1,0,Apartamento,41.5,Média
20.0,1,0,Studio e kitnet,75.2,Barata
60.0,1,0,Apartamento,35.8,Barata
70.0,2,1,Casa,22.09,Muito barata
55.0,2,0,Apartamento,44.33,Barata
90.0,2,0,Casa,27.64,Média
38.0,1,1,Studio e kitnet,75.95,Média
60.0,2,1,Apartamento,42.82,Muito barata
60.0,2,0,Apartamento,43.38,Média
50.0,1,1,Apartamento,51.78,Barata
42.0,1,0,Studio e kitnet,36.5,Barata
70.0,2,0,Casa,44.67,Média
20.0,1,0,Studio e kitnet,104.8,Média
60.0,1,0,Casa,24.87,Barata
90.0,1,0,Casa,23.04,Barata
50.0,2,0,Apartamento,36.6,Muito barata
65.0,2,1,Apartamento,37.31,Barata
28.0,1,0,Studio e kitnet,92.96,Média
60.0,1,0,Casa,34.38,Barata
45.0,1,0,Apartamento,36.38,Média
45.0,2,1,Casa em condomínio,28.04,Barata
50.0,2,1,Apartamento,40.1,Barata
39.0,1,0,Studio e kitnet,35.77,Barata
45.0,2,0,Apartamento,34.53,Muito barata
75.0,3,1,Apartamento,42.93,Barata
50.0,2,0,Apartamento,60.0,Média
38.0,2,1,Apartamento,51.5,Muito barata
42.0,2,1,Apartamento,34.29,Muito barata
40.0,2,0,Apartamento,42.5,Barata
77.0,2,1,Apartamento,61.09,Cara
66.0,2,1,Apartamento,36.32,Barata
50.0,1,1,Apartamento,69.6,Cara
57.0,2,0,Apartamento,50.84,Média
60.0,2,1,Apartamento,38.07,Barata
34.0,1,0,Casa,44.09,Barata
35.0,1,0,Apartamento,37.77,Barata
50.0,2,1,Apartamento,48.12,Barata
50.0,2,1,Apartamento,45.92,Barata
42.0,2,0,Apartamento,47.0,Barata
55.0,2,1,Apartamento,41.71,Barata
27.0,1,0,Studio e kitnet,52.04,Barata
52.0,2,1,Apartamento,35.83,Barata
40.0,2,0,Apartamento,48.98,Barata
70.0,1,1,Apartamento,36.94,Média
50.0,1,1,Casa,37.4,Barata
50.0,1,0,Apartamento,44.72,Barata
80.0,3,2,Apartamento,47.31,Média
50.0,1,1,Apartamento,78.52,Média
72.0,2,2,Apartamento,28.79,Muito barata
20.0,1,0,Studio e kitnet,52.9,Barata
77.0,2,1,Apartamento,60.77,Cara
56.0,1,0,Apartamento,58.5,Barata
60.0,1,0,Apartamento,25.9,Barata
47.0,1,0,Apartamento,42.89,Muito barata
60.0,2,1,Apartamento,74.52,Média
44.0,2,1,Apartamento,32.95,Muito barata
50.0,2,1,Apartamento,48.48,Barata
33.0,1,0,Studio e kitnet,79.15,Barata
70.0,3,0,Casa,65.67,Barata
55.0,2,1,Apartamento,38.25,Barata
65.0,2,1,Apartamento,53.63,Média
49.0,2,1,Apartamento,33.31,Muito barata
96.0,2,1,Casa,19.54,Muito barata
50.0,2,1,Apartamento,42.68,Barata
60.0,1,0,Casa,22.08,Barata
45.0,2,0,Casa,29.24,Barata
40.0,1,1,Apartamento,43.28,Barata
38.0,1,0,Studio e kitnet,48.0,Cara
52.0,2,1,Apartamento,48.35,Barata
62.0,3,1,Apartamento,46.13,Barata
70.0,2,0,Casa,26.96,Muito barata
50.0,2,0,Apartamento,43.7,Barata
35.0,1,0,Apartamento,81.51,Média
47.0,2,0,Apartamento,34.45,Barata
47.0,2,1,Apartamento,73.4,Barata
50.0,2,1,Casa em condomínio,31.98,Barata
58.0,2,1,Apartamento,50.83,Média
48.0,2,1,Apartamento,76.62,Média
60.0,2,1,Apartamento,50.95,Média
40.0,1,1,Apartamento,74.05,Média
20.0,1,0,Studio e kitnet,57.15,Barata
43.0,2,0,Apartamento,79.86,Média
38.0,1,0,Apartamento,71.89,Barata
40.0,2,0,Casa,48.48,Muito barata
40.0,2,0,Apartamento,39.35,Barata
66.0,3,1,Apartamento,38.73,Média
52.0,2,0,Apartamento,45.94,Barata
35.0,1,0,Casa,53.09,Barata
40.0,2,0,Apartamento,45.1,Barata
44.0,2,0,Apartamento,43.7,Barata
34.0,1,0,Studio e kitnet,73.32,Barata
80.0,3,1,Casa,26.42,Muito barata
40.0,1,1,Apartamento,66.25,Média
56.0,2,1,Apartamento,70.3,Média
44.0,1,0,Studio e kitnet,34.48,Média
45.0,2,1,Apartamento,60.84,Barata
47.0,2,1,Apartamento,36.09,Muito barata
67.0,2,0,Apartamento,47.49,Média
43.0,2,0,Apartamento,36.0,Muito barata
68.0,2,1,Apartamento,30.38,Muito barata
75.0,2,0,Casa,17.33,Muito barata
45.0,1,1,Apartamento,73.56,Média
68.0,3,1,Apartamento,65.1,Barata
42.0,2,0,Apartamento,45.74,Barata
39.0,1,0,Casa,40.08,Barata
60.0,2,1,Apartamento,55.92,Barata
33.0,1,1,Studio e kitnet,89.24,Barata
46.0,2,0,Apartamento,39.41,Barata
64.0,3,1,Apartamento,55.73,Barata
56.0,2,1,Apartamento,37.29,Muito barata
36.0,2,1,Apartamento,68.06,Barata
58.0,2,1,Apartamento,52.84,Média
28.0,1,0,Studio e kitnet,46.07,Barata
63.0,3,1,Apartamento,50.73,Barata
50.0,2,2,Apartamento,61.68,Média
37.0,2,0,Apartamento,48.7,Barata
39.0,1,1,Apartamento,92.72,Média
40.0,1,0,Apartamento,46.85,Barata
38.0,1,0,Studio e kitnet,46.71,Média
40.0,1,1,Apartamento,55.5,Média
43.0,1,1,Apartamento,101.84,Cara
76.0,2,0,Apartamento,43.12,Média
22.0,1,0,Studio e kitnet,90.5,Média
40.0,1,0,Casa,51.02,Barata
40.0,2,0,Apartamento,66.85,Barata
42.0,1,1,Apartamento,72.55,Média
36.0,1,1,Apartamento,71.61,Média
20.0,1,0,Studio e kitnet,75.8,Barata
48.0,1,0,Casa,24.04,Muito barata
39.0,1,0,Studio e kitnet,59.51,Média
40.0,1,1,Apartamento,88.02,Média
45.0,2,0,Apartamento,42.29,Barata
42.0,1,0,Studio e kitnet,57.48,Média
60.0,2,2,Apartamento,62.55,Barata
60.0,2,2,Apartamento,59.75,Média
24.0,1,0,Studio e kitnet,105.92,Cara
74.0,1,1,Apartamento,84.84,Média
60.0,2,0,Apartamento,66.23,Cara
33.0,1,0,Studio e kitnet,49.3,Média
40.0,2,0,Apartamento,40.98,Barata
55.0,2,1,Apartamento,34.24,Barata
63.0,2,1,Apartamento,76.73,Barata
54.0,2,1,Apartamento,33.02,Barata
91.0,2,2,Casa,46.98,Média
74.0,2,1,Apartamento,48.03,Barata
100.0,2,1,Casa,38.74,Barata
41.0,2,1,Apartamento,53.61,Barata
28.0,1,0,Studio e kitnet,110.46,Média
75.0,1,1,Casa,57.87,Barata
40.0,1,1,Apartamento,57.38,Barata
38.0,1,0,Casa,30.18,Muito barata
58.0,2,1,Apartamento,58.84,Barata
30.0,1,0,Casa,41.7,Barata
45.0,2,1,Apartamento,36.93,Muito barata
35.0,1,0,Apartamento,39.17,Média
67.0,2,2,Apartamento,56.84,Média
45.0,1,0,Apartamento,56.87,Barata
69.0,2,1,Apartamento,47.55,Média
38.0,2,0,Apartamento,54.42,Barata
36.0,1,0,Apartamento,58.86,Barata
39.0,1,1,Apartamento,86.95,Média
27.0,1,0,Studio e kitnet,49.59,Média
54.0,1,1,Apartamento,76.78,Cara
35.0,1,0,Studio e kitnet,48.4,Média
53.0,2,1,Apartamento,40.62,Barata
36.0,1,1,Apartamento,92.11,Barata
55.0,2,1,Apartamento,63.78,Média
22.0,1,0,Studio e kitnet,130.05,Média
45.0,1,0,Casa,37.56,Média
30.0,1,0,Studio e kitnet,76.13,Barata
24.0,1,0,Studio e kitnet,108.33,Média
62.0,2,1,Apartamento,83.19,Barata
48.0,2,1,Apartamento,58.25,Barata
50.0,2,1,Apartamento,70.0,Barata
73.0,3,1,Apartamento,52.95,Barata
80.0,2,1,Casa,38.12,Cara
70.0,2,1,Apartamento,37.84,Barata
57.0,2,1,Apartamento,89.68,Média
54.0,1,1,Apartamento,103.91,Cara
50.0,2,1,Apartamento,106.0,Barata
55.0,2,1,Apartamento,47.33,Barata
35.0,1,1,Studio e kitnet,102.97,Cara
25.0,1,0,Studio e kitnet,105.32,Média
74.0,2,1,Apartamento,49.23,Média
35.0,1,0,Apartamento,52.26,Média
35.0,2,1,Casa,44.66,Muito barata
64.0,2,1,Apartamento,47.27,Barata
55.0,1,0,Apartamento,36.22,Média
72.0,3,1,Apartamento,43.1,Barata
43.0,1,1,Apartamento,63.28,Barata
69.0,3,1,Apartamento,41.75,Barata
33.0,1,1,Studio e kitnet,93.91,Média
74.0,2,2,Apartamento,39.7,Barata
50.0,2,1,Apartamento,48.34,Muito barata
35.0,1,1,Apartamento,70.0,Barata
65.0,2,1,Apartamento,45.6,Média
34.0,1,0,Casa,45.79,Cara
52.0,2,0,Apartamento,43.17,Barata
60.0,2,1,Apartamento,58.5,Barata
22.0,1,0,Studio e kitnet,116.09,Média
64.0,1,0,Apartamento,47.77,Média
45.0,2,1,Apartamento,60.73,Barata
60.0,2,1,Apartamento,66.12,Média
45.0,2,0,Apartamento,92.96,Média
55.0,1,1,Apartamento,71.93,Cara
16.0,1,0,Studio e kitnet,107.06,Média
36.0,1,1,Apartamento,60.14,Barata
35.0,1,0,Apartamento,51.57,Média
45.0,1,1,Apartamento,81.29,Barata
35.0,1,1,Studio e kitnet,66.86,Barata
39.0,2,0,Apartamento,44.21,Barata
30.0,1,0,Casa,39.4,Barata
52.0,2,2,Apartamento,89.25,Média
76.0,2,2,Apartamento,50.74,Barata
49.0,2,0,Apartamento,35.71,Barata
68.0,2,1,Apartamento,41.01,Barata
65.0,2,1,Apartamento,39.65,Barata
45.0,2,1,Apartamento,74.36,Barata
54.0,2,1,Apartamento,51.04,Barata
44.0,2,0,Apartamento,53.11,Barata
45.0,2,1,Apartamento,65.31,Barata
50.0,2,1,Apartamento,88.12,Média
55.0,2,1,Apartamento,58.25,Média
64.0,2,1,Apartamento,73.23,Média
67.0,3,1,Apartamento,51.54,Barata
69.0,2,2,Apartamento,77.54,Barata
32.0,1,0,Studio e kitnet,56.16,Barata
63.0,2,1,Apartamento,40.33,Barata
41.0,2,0,Apartamento,53.61,Barata
70.0,2,2,Apartamento,59.79,Barata
60.0,2,1,Casa,25.75,Barata
35.0,1,0,Studio e kitnet,83.29,Média
53.0,2,1,Apartamento,62.26,Barata
35.0,1,0,Casa,41.83,Muito barata
42.0,1,1,Apartamento,109.14,Média
26.0,0,0,Studio e kitnet,127.15,Cara
80.0,2,2,Apartamento,66.1,Barata
66.0,2,1,Apartamento,33.86,Muito barata
35.0,2,1,Apartamento,53.46,Barata
48.0,2,1,Apartamento,59.75,Barata
67.0,2,1,Apartamento,105.36,Cara
74.0,2,1,Apartamento,60.49,Cara
40.0,1,0,Apartamento,74.5,Barata
78.0,3,1,Apartamento,52.09,Barata
77.0,3,2,Apartamento,57.47,Média
48.0,2,0,Apartamento,36.67,Barata
38.0,2,0,Apartamento,61.26,Barata
41.0,2,1,Apartamento,92.15,Média
45.0,1,0,Apartamento,41.2,Média
38.0,2,1,Apartamento,49.74,Barata
42.0,1,1,Apartamento,103.31,Barata
77.0,2,2,Apartamento,47.36,Barata
35.0,1,1,Apartamento,91.11,Média
51.0,2,1,Apartamento,64.63,Barata
61.0,1,0,Apartamento,32.84,Barata
35.0,1,1,Apartamento,113.66,Cara
78.0,2,1,Apartamento,78.45,Cara
67.0,3,1,Apartamento,56.91,Barata
53.0,2,0,Apartamento,49.26,Muito barata
68.0,2,1,Apartamento,74.13,Barata
40.0,1,1,Apartamento,100.22,Cara
40.0,2,0,Apartamento,170.8,Média
24.0,1,0,Studio e kitnet,149.54,Cara
57.0,2,1,Apartamento,50.91,Barata
45.0,2,1,Apartamento,49.64,Barata
75.0,3,2,Apartamento,72.53,Média
65.0,1,1,Apartamento,60.98,Média
56.0,2,2,Apartamento,78.88,Média
60.0,2,1,Apartamento,98.38,Cara
70.0,1,2,Apartamento,53.26,Média
22.0,1,0,Studio e kitnet,138.64,Cara
80.0,3,2,Apartamento,94.16,Média
50.0,2,0,Apartamento,47.0,Média
43.0,1,1,Apartamento,112.0,Cara
48.0,1,1,Apartamento,108.1,Cara
52.0,1,1,Apartamento,38.54,Barata
48.0,1,1,Apartamento,75.67,Cara
27.0,1,0,Studio e kitnet,130.78,Média
15.0,1,0,Studio e kitnet,159.13,Barata
70.0,2,1,Apartamento,98.76,Cara
30.0,1,1,Studio e kitnet,165.83,Cara
45.0,2,1,Apartamento,60.16,Barata
39.0,1,1,Studio e kitnet,89.72,Barata
40.0,2,0,Apartamento,54.98,Barata
45.0,1,1,Apartamento,55.07,Barata
43.0,1,1,Studio e kitnet,90.65,Cara
57.0,2,1,Apartamento,99.05,Média
67.0,2,0,Apartamento,43.25,Média
46.0,1,1,Apartamento,104.78,Cara
65.0,2,0,Apartamento,28.37,Barata
56.0,2,0,Casa,30.89,Barata
43.0,1,0,Apartamento,33.58,Barata
60.0,2,1,Casa,28.32,Barata
61.0,2,0,Apartamento,41.05,Média
45.0,1,0,Apartamento,36.96,Média
60.0,2,2,Casa,34.75,Muito barata
50.0,1,0,Casa,25.7,Barata
35.0,1,0,Apartamento,62.77,Barata
22.0,1,0,Studio e kitnet,63.64,Média
50.0,1,1,Casa,28.14,Barata
62.0,2,1,Apartamento,71.48,Barata
40.0,1,0,Casa,52.12,Barata
40.0,1,1,Apartamento,75.28,Média
50.0,2,1,Apartamento,36.2,Barata
60.0,3,0,Casa,25.73,Barata
65.0,1,0,Casa em condomínio,27.97,Média
60.0,2,0,Casa,24.35,Barata
69.0,1,0,Apartamento,29.54,Barata
20.0,1,0,Studio e kitnet,66.05,Barata
59.0,2,1,Apartamento,29.03,Muito barata
71.0,2,0,Apartamento,37.17,Barata
100.0,3,2,Casa,26.02,Barata
62.0,2,1,Apartamento,48.32,Média
80.0,3,2,Apartamento,54.3,Barata
62.0,2,1,Apartamento,37.53,Barata
75.0,1,0,Casa,13.89,Muito barata
35.0,1,0,Apartamento,55.14,Barata
36.0,1,1,Apartamento,80.47,Barata
80.0,2,1,Casa,24.76,Muito barata
60.0,2,1,Apartamento,67.47,Média
43.0,1,0,Casa,29.53,Barata
25.0,1,0,Studio e kitnet,113.0,Barata
80.0,2,0,Casa,19.23,Muito barata
41.0,1,1,Apartamento,84.49,Média
40.0,1,1,Apartamento,87.5,Média
55.0,3,2,Apartamento,59.93,Barata
35.0,1,0,Casa,37.63,Barata
55.0,2,1,Casa,29.42,Barata
62.0,2,1,Apartamento,37.13,Barata
40.0,1,0,Casa,32.62,Média
45.0,1,1,Apartamento,69.02,Média
75.0,2,0,Casa,53.95,Cara
62.0,2,0,Apartamento,44.94,Média
70.0,2,1,Apartamento,35.09,Barata
35.0,1,0,Casa,53.23,Barata
48.0,2,1,Apartamento,74.12,Média
28.0,1,1,Studio e kitnet,74.25,Barata
68.0,3,2,Apartamento,45.66,Média
55.0,2,1,Apartamento,53.96,Barata
46.0,2,0,Apartamento,41.0,Barata
20.0,1,0,Studio e kitnet,65.8,Barata
60.0,3,1,Apartamento,32.12,Muito barata
60.0,1,0,Casa,21.55,Barata
45.0,2,1,Apartamento,48.93,Barata
59.0,2,0,Casa,37.1,Barata
40.0,2,0,Apartamento,36.17,Muito barata
55.0,2,0,Casa,19.67,Muito barata
73.0,2,0,Apartamento,56.14,Cara
49.0,1,0,Apartamento,38.43,Média
32.0,1,0,Studio e kitnet,80.66,Média
38.0,1,0,Studio e kitnet,45.92,Média
50.0,2,0,Casa em condomínio,50.98,Muito barata
70.0,2,1,Apartamento,67.17,Cara
40.0,2,0,Casa,43.25,Barata
45.0,2,0,Apartamento,46.84,Barata
