area,bedrooms,garage,cost/m²,type_Apartamento,type_Casa,type_Casa em condomínio,type_Studio e kitnet,valor_regiao
50,1,1,98.36,1,0,0,0,1
65,3,1,36.32,1,0,0,0,1
54,2,1,32.28,1,0,0,0,0
41,2,0,61.24,1,0,0,0,1
33,1,0,121.76,0,0,0,1,2
35,1,1,71.14,1,0,0,0,2
34,2,0,53.79,1,0,0,0,1
42,2,0,26.81,0,1,0,0,0
150,3,1,13.07,0,1,0,0,0
64,2,1,37.7,0,0,1,0,0
31,1,0,102.94,0,0,0,1,2
38,1,1,79.32,0,0,0,1,1
57,2,1,40.32,1,0,0,0,0
45,1,1,27.8,0,1,0,0,0
37,2,0,76.05,1,0,0,0,1
76,3,1,69.99,1,0,0,0,1
64,2,1,69.67,1,0,0,0,1
34,1,1,166.97,1,0,0,0,3
55,2,1,45.25,1,0,0,0,0
67,2,1,47.3,1,0,0,0,0
62,3,1,44.05,1,0,0,0,1
50,2,1,48.32,1,0,0,0,0
49,1,1,85.47,1,0,0,0,1
35,1,0,125.26,0,0,0,1,2
130,3,1,33.16,0,1,0,0,0
62,2,1,38.81,1,0,0,0,0
98,3,2,45.99,1,0,0,0,1
49,2,1,33.06,1,0,0,0,0
48,1,1,74.94,1,0,0,0,1
38,1,1,52.58,1,0,0,0,0
35,2,0,86.2,1,0,0,0,1
49,1,1,80.96,1,0,0,0,1
64,2,1,32.19,1,0,0,0,0
70,3,1,82.71,1,0,0,0,1
99,3,2,56.22,1,0,0,0,1
49,2,1,53.8,1,0,0,0,1
58,2,2,55.57,1,0,0,0,1
66,2,2,49.3,1,0,0,0,0
35,1,1,94.17,1,0,0,0,1
115,3,2,53.71,1,0,0,0,0
33,1,1,99.58,0,0,0,1,2
45,2,0,67.69,1,0,0,0,1
53,2,1,52.34,1,0,0,0,1
30,1,0,61.0,0,0,0,1,1
49,2,1,48.14,1,0,0,0,0
60,3,1,64.08,1,0,0,0,0
35,2,0,85.03,1,0,0,0,1
45,2,0,66.51,1,0,0,0,1
33,1,0,122.39,1,0,0,0,2
41,2,0,76.63,0,0,0,1,1
